Nodes,score,level,source_original,RNA_input
BIRC5,-1.3926135314585415,4,BIRC5,0.35562895741104716
BIRC6,-1.3926135314585415,4,BIRC6,-0.254347151716595
BNIP3L,1.2618271541561579,5,BNIP3L,-0.8404629993072336
BRAF,2.2780887652080826,5,BRAF,-0.8682833029899485
BRCA1,-1.5362950353992844,4,BRCA1,0.4473273797503131
BRD4,2.2826775340408703,5,BRD4,0.2183786533250179
BRMS1,-1.7827203715484081,5,BRMS1,0.11432583620354302
CAD,1.2986547564998707,2,CAD,0.27049192581685483
CARM1,0.706844717810557,3,CARM1,0.10469188028818541
CASP2,1.0514310258447397,5,CASP2,-0.45027690612167703
CASP3,1.425731736505825,3,CASP3,-0.5588143406802623
CASP6,1.0330667349909197,5,CASP6,0.12437308076755826
CASP7,-1.256653509228814,5,CASP7,1.0607489982145732
CASP8,1.3926135314585415,4,CASP8,-0.7536312026662157
CASP9,1.3926135314585415,4,CASP9,-0.24770748228504966
CAV1,-2.3682568563460116,3,CAV1,0.6211350658093464
CCNA2,2.068272837514764,4,CCNA2,0.6008218644209847
CCND1,1.7311967963383275,5,CCND1,0.47367452674787225
CCND3,1.7311967963383275,5,CCND3,-0.43659573688117886
CCNE1,3.046278352437923,5,CCNE1,-1.1640765913257145
CCNE2,0.7492270850745266,6,CCNE2,-0.1845944372290679
CCP110,-0.6053640767256557,6,CCP110,-0.5216447091685525
CDC16,1.1275815820507293,6,CDC16,-0.7750549802879063
CDC23,1.1275815820507293,6,CDC23,0.581716200391891
CDC25A,-1.3926135314585433,4,CDC25A,0.1446828794657951
CDC27,0.6266646184876409,6,CDC27,0.23998169872437855
CDC42,1.3474493785337756,4,CDC42,0.6273524921012372
CDH2,-2.258149213903232,6,CDH2,1.119707385331215
CDK1,1.6158400848732295,3,CDK1,-0.40470204260517156
CDK2,1.5257953115092435,4,CDK2,-1.224748783791142
CDK4,1.5112703722374674,5,CDK4,-0.5819653877082326
CDK5,2.1383329704683107,4,CDK5,-1.055414234552009
CDK6,2.162169471132852,5,CDK6,1.140770945169131
CDK9,1.5362950353992844,4,CDK9,0.21592528933774127
CDKN1A,-1.5933628095113648,4,CDKN1A,-0.7079701376771593
CDKN1B,-0.8876883347206986,5,CDKN1B,-0.8726453363206701
CDKN2D,2.3301928584676346,6,CDKN2D,-0.5784788789169686
CEBPB,-1.1044740265776947,5,CEBPB,-1.0499385772888816
CFL1,-1.1579241777874576,6,CFL1,1.4523947535221593
CFLAR,-1.5916756857325263,5,CFLAR,1.4258715607866785
CHEK1,1.5362950353992844,4,CHEK1,-0.9855738567942356
CHEK2,1.5362950353992844,4,CHEK2,-0.8997755809752034
CHUK,0.6493606923212495,5,CHUK,-0.8516588901123218
CREB1,1.5362950353992844,4,CREB1,-0.02397332174583842
CSNK1A1,1.5362950353992844,4,CSNK1A1,-0.1781085960021103
CSNK2A1,0.8715592165846093,3,CSNK2A1,0.061754939042531556
CSNK2B,1.5362950353992844,4,CSNK2B,-0.15963273825611762
CTBP1,-1.6105955409030124,5,CTBP1,0.4526250368949807
CTNNB1,-2.5959348231824397,5,CTNNB1,0.6385961532450313
CTNND1,-1.353437952989639,5,CTNND1,0.02720700829407345
CTTN,1.3491526592809042,6,CTTN,-0.4401840622771733
DAB2IP,0.8349863743209001,5,DAB2IP,-1.7869936860118607
DAPK3,1.5362950353992844,4,DAPK3,0.7064755643257977
DAXX,1.5362950353992844,4,DAXX,-0.45127185752082116
DBF4,1.1321284570975785,6,DBF4,-0.386224644418165
DDB2,1.308889033980696,5,DDB2,-1.3330844943979747
DDR1,1.1021717004165044,5,DDR1,-1.095465626605141
DDX5,1.5362950353992844,4,DDX5,-0.30179918630509955
DHFR,1.7629271382161296,4,DHFR,-1.030617629300458
DIABLO,2.300725439931988,5,DIABLO,-0.6743711589400686
DNAJB1,1.770873294602418,5,DNAJB1,-0.08016002596697629
DOK1,1.2404144516658944,5,DOK1,0.7540070807305502
DUSP1,1.9522425885475363,4,DUSP1,-0.3301736767079533
DVL2,-1.353437952989639,5,DVL2,-0.35664541259950755
E2F1,3.600567611847929,4,E2F1,-0.029805659005690707
E2F3,1.6966469364710028,5,E2F3,-0.270229656625729
EGLN2,-0.5215955987241223,3,EGLN2,-0.3698451420242059
EIF3J,-1.3960045321366237,6,EIF3J,-0.22674569260005334
EIF4E,1.0121554410747429,6,EIF4E,0.2346159583321124
EIF4EBP1,-1.1383032210502633,5,EIF4EBP1,-0.792150621668731
EIF4G2,-1.6239152319413093,5,EIF4G2,-0.016532142137436867
ELAVL1,1.6325380144039472,4,ELAVL1,-0.04646963090459147
ENO1,-0.7863547541836039,2,ENO1,0.47580130649824703
EP300,1.5362950353992844,4,EP300,0.4915464876939723
EPHA2,0.5607792358227889,5,EPHA2,0.7477755220635932
ERBB2,-1.3875255917913063,4,ERBB2,-0.360399544168176
FADD,1.0514310258447397,5,FADD,0.7789137126642499
FBXW7,0.6376237163809372,4,FBXW7,0.07659768488257322
FEN1,1.3360341699608063,5,FEN1,-0.909847314876278
FGFR1,3.387803929381921,3,FGFR1,0.7009276096509078
FH,-1.5693930847899829,2,FH,-0.48614752885222395
FHL2,-1.256653509228815,5,FHL2,0.1784062328668731
FKBP8,-0.7842065819501678,5,FKBP8,-0.3022072085289883
FLNA,-1.2480619194153812,5,FLNA,1.118846479356399
FN1,-1.7203039521876675,5,FN1,1.006524702215996
FOXO3,-0.7492270850745266,6,FOXO3,1.089368212485048
FZR1,1.1275815820507293,6,FZR1,0.39360614642334835
G6PD,-1.0831595031436236,2,G6PD,-0.4833012762100282
GABARAP,1.1579241777874598,6,GABARAP,-0.47053558503373194
GADD45A,-1.5933628095113648,4,GADD45A,0.0316671109686902
GAPDH,-1.4952525927470035,4,GAPDH,0.01269869154757125
Enzyme1338__AKR1B1,3.181555513401222,1,Gene1338__AKR1B1,NA
Enzyme156__AKR1B1,1.9204042425238204,1,Gene156__AKR1B1,NA
Enzyme1561__AKR1B1,0.6492138789545832,1,Gene1561__AKR1B1,NA
Enzyme17300002__SLC38A2,-0.6146380985542883,1,Gene17300002__SLC38A2,NA
Enzyme2341__PRDX6_reverse,-0.5530889780670517,1,Gene2341__PRDX6_reverse,NA
Enzyme3418__orphanReacGLYLYSPHEr_reverse,0.8014611557697097,3,Gene3418__orphanReacGLYLYSPHEr_reverse,NA
Enzyme3423__orphanReacGLYTYRLYSr,0.7342858705138315,1,Gene3423__orphanReacGLYTYRLYSr,NA
Enzyme3423__orphanReacGLYTYRLYSr_reverse,0.7852515622900379,3,Gene3423__orphanReacGLYTYRLYSr_reverse,NA
Enzyme3424__orphanReacGLYVALHISr_reverse,0.7568211651999593,3,Gene3424__orphanReacGLYVALHISr_reverse,NA
Enzyme3441__orphanReacILEGLYARGr_reverse,1.2795420576310765,3,Gene3441__orphanReacILEGLYARGr_reverse,NA
Enzyme3521__orphanReacSERGLYGLUr,1.2673284502404918,1,Gene3521__orphanReacSERGLYGLUr,NA
Enzyme3521__orphanReacSERGLYGLUr_reverse,1.309995999374145,3,Gene3521__orphanReacSERGLYGLUr_reverse,NA
Enzyme3540__orphanReacTRPGLYVALr_reverse,1.2795420576310765,3,Gene3540__orphanReacTRPGLYVALr_reverse,NA
Enzyme3572__orphanReacTRPGLYASPr,1.4687869083149712,1,Gene3572__orphanReacTRPGLYASPr,NA
Enzyme3572__orphanReacTRPGLYASPr_reverse,1.511169116589327,3,Gene3572__orphanReacTRPGLYASPr_reverse,NA
Enzyme3684__CNDP2_reverse,1.279542057631076,3,Gene3684__CNDP2_reverse,NA
Enzyme3686__PEPD_reverse,1.0306298717445774,3,Gene3686__PEPD_reverse,NA
Enzyme3711__IMPDH2,-1.2344284207230474,3,Gene3711__IMPDH2,NA
Enzyme3777__TALDO1,-0.9909064004790741,1,Gene3777__TALDO1,NA
Enzyme4481__PRDX6,-0.8399317593297788,4,Gene4481__PRDX6,NA
Enzyme4481__PRDX6_reverse,-0.5758095881151786,6,Gene4481__PRDX6_reverse,NA
Enzyme5633__orphanReacASNtm,-0.6146380985542889,1,Gene5633__orphanReacASNtm,NA
Enzyme6460__TPP1_reverse,1.2795420576310763,3,Gene6460__TPP1_reverse,NA
Enzyme6521__orphanReacLEUGLYHYc_reverse,1.2795420576310756,3,Gene6521__orphanReacLEUGLYHYc_reverse,NA
Enzyme6644__PEPD_reverse,1.0306298717445779,3,Gene6644__PEPD_reverse,NA
Enzyme7060__orphanReacARGCYSGLYr_reverse,0.8544388058585088,3,Gene7060__orphanReacARGCYSGLYr_reverse,NA
Enzyme7269__orphanReacGLYHISLYSr_reverse,0.7568211651999592,3,Gene7269__orphanReacGLYHISLYSr_reverse,NA
Enzyme7270__orphanReacGLYLYSCYSr_reverse,0.8544388058585091,3,Gene7270__orphanReacGLYLYSCYSr_reverse,NA
Enzyme7291__orphanReacHISGLYLYSr_reverse,0.7568211651999595,3,Gene7291__orphanReacHISGLYLYSr_reverse,NA
Enzyme7328__TKT,-1.1857251960030162,3,Gene7328__TKT,NA
Enzyme7328__TKT_reverse,-0.9909064004790741,1,Gene7328__TKT_reverse,NA
Enzyme7330__orphanReacMETGLYARGr,1.0912707050562795,1,Gene7330__orphanReacMETGLYARGr,NA
Enzyme7330__orphanReacMETGLYARGr_reverse,1.1356116673834256,3,Gene7330__orphanReacMETGLYARGr_reverse,NA
Enzyme7387__orphanReacTRPGLUGLYr,1.8853269173841605,1,Gene7387__orphanReacTRPGLUGLYr,NA
Enzyme7387__orphanReacTRPGLUGLYr_reverse,1.9339469567340024,3,Gene7387__orphanReacTRPGLUGLYr_reverse,NA
Enzyme7423__orphanReacTYRCYSGLYr_reverse,0.6008004592906986,3,Gene7423__orphanReacTYRCYSGLYr_reverse,NA
Enzyme7428__orphanReacVALARGGLYr_reverse,1.2795420576310763,3,Gene7428__orphanReacVALARGGLYr_reverse,NA
Enzyme7544__G6PD,-0.7808491040757384,3,Gene7544__G6PD,NA
Enzyme7546__GAPDH_reverse,-1.3472352411885058,3,Gene7546__GAPDH_reverse,NA
Enzyme7550__orphanReacGLYPHEHYc_reverse,0.8014611557697098,3,Gene7550__orphanReacGLYPHEHYc_reverse,NA
Enzyme8417__THRA,1.2366722224509958,1,Gene8417__THRA,NA
Enzyme8887__orphanReacGLYitr_reverse,1.279542057631076,3,Gene8887__orphanReacGLYitr_reverse,NA
Enzyme9078__orphanReacGLYtp,1.2795420576310759,3,Gene9078__orphanReacGLYtp,NA
Enzyme9532__MDH1,-0.782727233713978,3,Gene9532__MDH1,NA
Enzyme9532__MDH1_reverse,-0.7471703468885306,5,Gene9532__MDH1_reverse,NA
Enzyme959100002__SLC38A2,-0.6730357710264696,1,Gene959100002__SLC38A2,NA
Enzyme9706__AKR1B1,0.6492138789545826,1,Gene9706__AKR1B1,NA
Enzyme9892__orphanReacthr_mt,-0.6730357710264699,1,Gene9892__orphanReacthr_mt,NA
GPI,-1.0831595031436236,2,GPI,-0.9535291327687642
GPX1,1.1275815820507413,6,GPX1,0.2752773518285643
GRB10,-1.648625524190575,4,GRB10,0.15428346457082676
GSN,-1.1383032210502606,5,GSN,-0.8795214541670316
HDAC2,0.8771301901819263,4,HDAC2,-0.02564482168263918
HDAC3,1.1579555161848796,4,HDAC3,-0.40166884100168715
HDAC6,-2.26666528341375,5,HDAC6,0.08311348314359776
HDAC7,1.1383032210502606,5,HDAC7,0.3339730173124004
HK1,-1.901465971541373,2,HK1,0.3533464224548342
HK2,-1.901465971541373,2,HK2,-0.6141035808345294
HMGA2,-1.256653509228815,5,HMGA2,-0.6052193744977254
HMGB1,1.5362950353992844,4,HMGB1,-0.6962873674424552
HNRNPK,1.5362950353992844,4,HNRNPK,-0.051664739604275256
HOXB7,-1.4988307204584146,4,HOXB7,-0.744094755882736
HRAS,0.6851374241871504,5,HRAS,0.442730227052941
HSF1,-1.4988307204584146,4,HSF1,0.5781704269690929
HSP90AA1,-2.260510867035276,4,HSP90AA1,0.42218400591431815
HSPA5,-1.019313884151033,5,HSPA5,-0.003663091397904057
HSPA9,1.1579241777874654,6,HSPA9,-0.21721705216092338
HSPB1,-2.317990495362029,4,HSPB1,0.9104499481762799
HTRA2,0.9210435107724039,5,HTRA2,-0.7979357292089351
IDH1,-1.4102976993364975,2,IDH1,-0.6309363240817011
IDH2,-0.9911857495914822,2,IDH2,0.16042428042740536
IFNAR1,-0.5664491477345447,6,IFNAR1,0.0768227074393817
IGF1R,-0.8684924677661238,4,IGF1R,-0.9826069516090485
IKBKE,-1.972798932123531,5,IKBKE,0.4148806202505735
IKBKG,-1.4206414713187243,5,IKBKG,0.14102219371304225
ILK,-1.7892620822758538,4,ILK,0.11256634866359257
IMPDH2,-1.3839855391901001,4,IMPDH2,0.06143510063551288
INCENP,-1.0030219604930695,4,INCENP,0.2219176598546367
IREB2,-1.690324315389622,2,IREB2,-0.5498959889141781
IRF1,1.1383032210502606,5,IRF1,0.19554088326651567
IRF3,1.1563572006583327,5,IRF3,0.1364378646945469
IRS1,-3.0388209177217713,4,IRS1,0.9586599402326218
ITGB1,-1.4262506266135733,4,ITGB1,0.8029638636852588
ITGB5,-0.7039558207142591,4,ITGB5,0.6155328094094339
JAK1,-0.6789529149466632,5,JAK1,1.6011868501275992
JUN,1.9818444663972863,4,JUN,0.8847499631187621
KAT8,1.5362950353992844,4,KAT8,0.10053513305789319
KDM1A,-1.5362950353992844,4,KDM1A,0.0032385793613284395
KMT2A,0.6785173068548142,2,KMT2A,-0.060975647341818213
KMT5A,0.6785173068548142,2,KMT5A,-0.7252927805993757
KPNA2,1.2566535092288138,5,KPNA2,0.12930633803696492
LATS1,1.653518459816959,6,LATS1,0.9809474501533806
LATS2,0.550670174572558,6,LATS2,-1.2522328643260145
LDHA,3.2449307523799433,2,LDHA,0.193049702825409
MAP2K1,1.9522425885475363,4,MAP2K1,-0.0637023608430587
MAP2K2,1.9522425885475363,4,MAP2K2,-0.319173889291096
MAP2K3,1.3926135314585433,4,MAP2K3,-0.20049502013172585
MAP2K4,-0.8099054820935412,4,MAP2K4,0.6600180600626735
MAP2K7,1.1713627696666615,5,MAP2K7,-0.69349415620791
MAP3K11,0.6355601160567779,5,MAP3K11,1.0236920632196884
MAP3K14,1.3926135314585433,4,MAP3K14,1.91567993511861
MAP3K2,1.3487058299687498,4,MAP3K2,-0.39499786504533385
MAP3K7,1.0390810747366843,5,MAP3K7,-0.2488443372175573
MAPK1,1.3840443234634763,3,MAPK1,0.4173948118289817
MAPK14,-0.8903513301793957,4,MAPK14,-0.10005060041549478
MAPK3,1.425731736505825,3,MAPK3,-0.8200158594968523
MAPK9,1.5362950353992844,4,MAPK9,-0.06065630246856699
MAPKAPK2,-1.0030219604930695,4,MAPKAPK2,0.5332466019537415
MAPKAPK3,-1.9095864768521007,5,MAPKAPK3,1.41301728582041
MAPKAPK5,1.5362950353992844,4,MAPKAPK5,-0.7596777417602041
MCM7,1.2618271541561632,5,MCM7,-0.13421171182782468
MDC1,1.7827203715484081,5,MDC1,0.34144926572403667
MDH1,-0.9125371077228923,2,MDH1,-0.9056711431598069
MDM2,-1.5362950353992844,4,MDM2,-1.0781573903209523
MDM4,-1.5362950353992844,4,MDM4,-1.1447861693146966
argcysgly_c,0.710207361907458,2,Metab__argcysgly_c,NA
CE5253_c,-0.68964778359404455,5,Metab__CE5253_c,NA
glyhislys_c,0.6091086471901891,2,Metab__glyhislys_c,NA
glylyscys_c,0.710207361907458,2,Metab__glylyscys_c,NA
glylysphe_c,0.6553564288435655,2,Metab__glylysphe_c,NA
glysar_c,1.1486858193494767,2,Metab__glysar_c,NA
glytyrlys_c,0.6385660311838953,2,Metab__glytyrlys_c,NA
glyvalhis_c,0.6091086471901891,2,Metab__glyvalhis_c,NA
hisglylys_c,0.6091086471901891,2,Metab__hisglylys_c,NA
Metab__Glycine_c,1.2617078366281353,0,Metab__HMDB0000123_c,NA
Metab__Glycine_r,1.1486858193494767,2,Metab__HMDB0000123_r,NA
Metab__Glycine_x,1.1486858193494767,2,Metab__HMDB0000123_x,NA
Metab__L-Threonine_c,-0.6046289296491623,0,Metab__HMDB0000167_c,NA
Metab__L-Threonine_m,-0.6046289296491623,0,Metab__HMDB0000167_m,NA
Metab__L-Asparagine_c,-0.5475943100939591,0,Metab__HMDB0000168_c,NA
Metab__L-Asparagine_m,-0.5475943100939591,0,Metab__HMDB0000168_m,NA
Metab__D-Glucitol_c,3.004580561171819,0,Metab__HMDB0000247_c,NA
Metab__Glycylproline_c,0.8923266010926957,2,Metab__HMDB0000721_c,NA
Metab__Glycylleucine_c,1.1486858193494767,2,Metab__HMDB0000759_c,NA
Metab__Glyceraldehyde_c,0.6933533502743148,0,Metab__HMDB0001051_c,NA
Metab__Glyceraldehyde_m,0.6933533502743148,0,Metab__HMDB0001051_m,NA
Metab__glyceraldehyde-3-phosphate_c,-1.5734229201142023,2,Metab__HMDB0001112_c,NA
Metab__D-Erythrose 4-phosphate_c,-0.9134139660662651,0,Metab__HMDB0001321_c,NA
Metab__L-Arabitol_c,1.9037250892249016,0,Metab__HMDB0001851_c,NA
Metab__Hydrogen peroxide_c,-0.7155494842415503,3,Metab__HMDB0003125_c,NA
Metab__Beta-D-Fructose 6-phosphate_c,-0.5163584291983178,2,Metab__HMDB0003971_c,NA
Metab__Glycyl-Phenylalanine_c,0.6553564288435655,2,Metab__HMDB0028848_c,NA
Metab__Leucyl-Glycine_c,1.1486858193494767,2,Metab__HMDB0028929_c,NA
"Metab__6-O-phosphonato-D-glucono-1,5-lactone(2-)_c",-0.9892400380782395,2,Metab__HMDB0062628_c,NA
Metab__5'-xanthylate(2-)_c,-1.457547250851877,2,Metab__HMDB0062755_c,NA
ileglyarg_c,1.1486858193494767,2,Metab__ileglyarg_c,NA
metglyarg_c,1.0005931859418327,2,Metab__metglyarg_c,NA
progly_c,0.8923266010926957,2,Metab__progly_c,NA
serglyglu_c,1.1799659214252158,2,Metab__serglyglu_c,NA
trpglugly_c,1.8158071656209538,2,Metab__trpglugly_c,NA
trpglyasp_c,1.3860722226960884,2,Metab__trpglyasp_c,NA
trpglyval_c,1.1486858193494767,2,Metab__trpglyval_c,NA
valarggly_c,1.1486858193494767,2,Metab__valarggly_c,NA
MMP14,1.0586135976982842,6,MMP14,0.2723579014091541
MSH2,0.7618176637749854,4,MSH2,-0.3211075915745601
MYC,-1.7287205741947551,4,MYC,-0.6589549794269953
NBN,1.2566535092288138,5,NBN,0.641223829475469
NCOA1,0.6398479628447137,4,NCOA1,-0.8659749063227078
NCOA2,1.2388013641441706,4,NCOA2,1.1942713963194218
NEDD4,-0.7130533443570035,5,NEDD4,-0.914960158575568
NFAT5,1.9811364440804746,3,NFAT5,-0.5031258522269155
NFE2L2,-0.7511627168018955,3,NFE2L2,-0.28490622725322323
NME1,-1.126345870424673,6,NME1,0.08588854578063072
NOLC1,-0.8116319560752346,4,NOLC1,0.24119875310186348
NOTCH1,1.9736559338143738,6,NOTCH1,0.8034695894307994
NOTCH2,1.8323651570264297,6,NOTCH2,0.9877417599537746
NPM1,-1.5362950353992844,4,NPM1,-0.3693065552519067
NR1H2,1.0117987337823502,5,NR1H2,-0.9654028158316414
NR2C2,0.5950454503947565,6,NR2C2,0.7232086570490021
NR2F2,1.2795420576310759,3,NR2F2,-0.3194995611094983
NR2F6,1.2388013641441702,4,NR2F6,-0.28224481145593977
NR3C1,-1.6530230262529164,4,NR3C1,0.2365055601829932
NRIP1,1.2388013641441706,4,NRIP1,1.3399760850360292
NUMB,1.5362950353992844,4,NUMB,0.4377114941049347
NUP153,-1.9064279143404623,5,NUP153,0.2965874444611135
NUP50,-1.2618271541561632,5,NUP50,-0.3250064508832534
ODC1,0.8164362167863811,2,ODC1,0.1529688814702379
OTUD5,1.5198595458123314,6,OTUD5,-0.21974545171905754
PAK4,1.3433076388943308,3,PAK4,0.4132090055979387
PARP1,1.5362950353992844,4,PARP1,-0.5264787608315605
PAXIP1,1.256653509228815,5,PAXIP1,-0.5779730028570802
PCNA,1.2479986679861588,5,PCNA,-0.3398009122002037
PDPK1,-0.7428945791983009,3,PDPK1,-0.20963881880030016
PELP1,1.358122337600626,5,PELP1,0.2724520686963379
PFAS,1.2986547564998707,2,PFAS,1.2723641331726472
PIAS2,-0.9802692892289425,6,PIAS2,0.12199715610205818
PIAS3,-1.4206414713187243,5,PIAS3,-0.1072718708642455
PIAS4,1.256653509228815,5,PIAS4,-0.8874599007647803
PIK3CA,-0.9729831776745694,4,PIK3CA,-0.9681528818802704
PIK3CB,-0.8099054820935412,4,PIK3CB,-0.03769419051170303
PIK3R2,-0.6094030797510435,5,PIK3R2,-0.44411009652198263
PIN1,0.7677285806732091,4,PIN1,0.04168747457210338
PIN4,-2.5145595318164795,5,PIN4,-0.28965935648580443
PINK1,-1.2618271541561579,5,PINK1,1.0094243326649674
PLD2,-0.5089914147925804,2,PLD2,1.0390221840105915
PLK1,-0.8715592165846093,3,PLK1,1.0795996260502827
PMAIP1,1.2618271541561579,5,PMAIP1,-0.11598122753718368
PML,1.1591675226112619,5,PML,1.085730060802947
PPARD,0.912607176983869,6,PPARD,-0.08356141454048327
PPP1CA,-1.425731736505825,3,PPP1CA,0.033547217530757865
PPP3CA,1.1622942008885535,5,PPP3CA,0.9651290976017717
PRDX6,-0.6605554916329731,2,PRDX6,-0.7113877969615429
PRKAA1,1.5362950353992844,4,PRKAA1,0.657927454945639
PRKACA,-1.425731736505825,3,PRKACA,-0.3730013235446996
PRKACB,-1.2566535092288131,5,PRKACB,-0.4486782164019446
PRKAR1A,1.5859616637636311,4,PRKAR1A,-0.3312144007542713
PRKCD,-0.686790836625256,3,PRKCD,0.3323273884614462
PRKCI,-1.7855456396750682,5,PRKCI,-0.7484229938478157
PRKDC,-1.3433076388943308,3,PRKDC,1.081867933318015
PRNP,-1.2416690984534822,4,PRNP,-0.18298567136545202
PSEN1,0.7674085395153416,6,PSEN1,-0.4291193206693149
PSIP1,-0.862389873578677,3,PSIP1,-0.19164761350045725
PTPN1,1.2170500051808535,4,PTPN1,-0.23817026720928025
PTPRJ,-1.9418862981990994,4,PTPRJ,1.0588192827684861
PXN,-1.2267464553370686,5,PXN,0.06668969219489837
RAC1,-1.6473483853887931,4,RAC1,-0.17750774315835846
RAD1,0.6205134355454079,5,RAD1,0.3681897476629788
RAD9A,1.3299982380045232,5,RAD9A,-0.2574377085705843
RAN,-1.077421114435275,6,RAN,-0.2958138588761219
RANBP3,-1.2618271541561632,5,RANBP3,0.23137571082136393
RARA,1.2795420576310759,3,RARA,0.4083965683607326
RARG,1.2795420576310759,3,RARG,-0.8142347880528186
RASA1,0.5569577630157455,5,RASA1,0.31278299049949837
RASSF1,1.2618271541561612,5,RASSF1,0.7100541857128363
RB1,-2.1036032750694456,4,RB1,-1.0166037585748924
RB1CC1,1.5362950353992844,4,RB1CC1,0.4822066862536964
RBL1,1.420641471318723,5,RBL1,0.1500383780252255
RBL2,-1.3088890339806973,5,RBL2,-0.4179798234609325
RBPJ,1.6004090667295818,5,RBPJ,0.6690051793028384
RCHY1,-1.5362950353992844,4,RCHY1,-0.689943410284805
RHEB,0.6999661838498621,5,RHEB,-0.3290417179514779
RHOA,-0.5309761349435342,4,RHOA,0.16826092537036055
RPS6KA1,1.010692880295857,5,RPS6KA1,0.2800753292426737
RPS6KA3,0.5506815059633922,5,RPS6KA3,-0.2684455319560297
RPS6KB1,1.425731736505825,3,RPS6KB1,-0.9341688508093228
RPTOR,1.3926135314585435,4,RPTOR,0.5842464271764662
RRAS,0.8812287649445694,5,RRAS,0.2523477963292275
RUNX1,-1.1590070354742261,6,RUNX1,0.06484586899677082
RUNX2,1.416651060224113,5,RUNX2,1.6938231405947335
RXRA,1.2388013641441706,4,RXRA,1.0039102928712174
RXRB,1.2795420576310759,3,RXRB,-0.9534203573083958
SDC4,-1.353437952989639,5,SDC4,0.8491682924253426
SET,-0.6264248903614715,5,SET,-0.23959936602591658
SETD2,0.6785173068548142,2,SETD2,0.8786970267214976
SETDB1,0.6785173068548142,2,SETDB1,0.26017033462868644
SFN,-1.415682469173737,6,SFN,-0.8157534244129874
SHC1,1.3487058299687498,4,SHC1,-0.6380830101775691
SIK2,2.5145595318164795,5,SIK2,-1.1055092836738525
SIRT1,0.8238264658855571,3,SIRT1,-0.8753709946805505
SKP2,1.4008894337474054,3,SKP2,0.7106513505740651
SLC38A2,-1.0446205936629434,2,SLC38A2,-1.5123955177754322
SLC9A1,-1.451720532133801,4,SLC9A1,0.36589150188717806
SMAD1,0.7199329690166536,6,SMAD1,-1.3307317719287945
SMAD2,-1.7287205741947551,4,SMAD2,-0.4579347781982606
SMAD3,1.3832052229098846,5,SMAD3,0.6507628210458086
SMAD7,-1.585961663763631,4,SMAD7,0.9227302965408702
SMPD1,-1.8311791662509538,4,SMPD1,-0.6589989337628103
SMURF2,-1.4206414713187243,5,SMURF2,-0.9430739792314388
SNW1,1.4301733181626644,6,SNW1,-0.13637670899583204
SOCS7,2.5145595318164795,5,SOCS7,-0.9490008094716664
SOS1,-1.353437952989639,5,SOS1,-0.8595234347882981
SOX9,-1.2682937722658756,6,SOX9,-1.0131056612363045
SPHK1,0.5121588572856115,6,SPHK1,1.2836926428837978
SRC,-0.5852346881497882,3,SRC,-0.40403945392266327
SRF,-1.072876621953372,6,SRF,0.6722166455268829
