Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,mofa_weights,feature_weights
KDM5B,4,0,0,1,-1,1,-1,-1,NA,-1.5675714085787404
KMT2A,4,0,0,1,-1,1,-1,-1,0.03118967080631002,-0.6923662764528103
KMT5A,0,0,1,0,1,0,1,1,-0.1546862366992636,NA
LEF1,4,0,0,1,-1,1,-1,-1,NA,-0.6119611652462958
LRP1,3,0,1,0,1,1,1,1,0.46549189377764133,2.306229563710256
LYN,0,0.81,0,0.19,-0.19,0,-0.19,-1,NA,NA
MAP3K7,0,0,0,1,-1,0,-1,-1,NA,NA
MAPK1,0,0,0,1,-1,0,-1,-1,0.09564540997476613,NA
MAPK11,0,0,0,1,-1,0,-1,-1,NA,NA
MAPK14,0,0,1,0,1,0,1,1,-0.04162506581186152,NA
MAPK8,0,0,0,1,-1,0,-1,-1,NA,NA
MAX,4,0,0,1,-1,1,-1,-1,-0.15702255502810764,-1.629468202856229
MECP2,4,0,0,1,-1,1,-1,-1,0.09725575199351137,-1.8639911051494582
MEF2D,4,0,1,0,1,1,1,1,0.2697739909933673,3.5739939056620402
Metab__Citric acid_c,1,0,0,1,-1,1,-1,-1,-0.3793873810330152,NA
Metab__Citric acid_m,1,0,0,1,-1,1,-1,-1,-0.3793873810330152,NA
Metab__D-Erythrose 4-phosphate_c,1,0,1,0,1,1,1,1,0.26402428525242305,NA
Metab__D-Ribulose 5-phosphate_c,1,0,1,0,1,1,1,1,0.2655327666818389,NA
Metab__Histidine_c,1,0,1,0,1,1,1,1,0.25410651535889417,NA
Metab__L-Phenylalanine_c,1,0,1,0,1,1,1,1,0.23727566469716932,NA
Metab__L-Phenylalanine_m,1,0,1,0,1,1,1,1,0.23727566469716932,NA
Metab__Leucine_c,1,0,1,0,1,1,1,1,0.29436449670226594,NA
Metab__Phosphoenolpyruvate_c,1,0,0,1,-1,1,-1,-1,-0.31228791514462767,NA
Metab__Phosphoenolpyruvate_m,1,0,0,1,-1,1,-1,-1,-0.31228791514462767,NA
Metab__S-Adenosylhomocysteine_c,1,0,1,0,1,1,1,1,0.22764950034581954,NA
Metab__S-Adenosylhomocysteine_m,1,0,1,0,1,1,1,1,0.22764950034581954,NA
MMP14,0,0,0,1,-1,0,-1,-1,0.029984700829334455,NA
MTOR,0,0,0,1,-1,0,-1,-1,4.1845530318897786e-4,NA
MYC,4,0,0,1,-1,1,-1,-1,-0.46554934684561067,-5.957680300755302
NCOR2,4,0,0,1,-1,1,-1,-1,0.2107036024166369,-2.4255890733133962
NEDD4L,0,0.08,0,0.92,-0.92,0,-0.92,-1,0.28143869159991436,NA
NFE2L2,4,0,1,0,1,1,1,1,0.35245462220359886,3.7844480395213744
NFKB1,4,0,1,0,1,1,1,1,NA,3.762963961705525
NOLC1,0,0,1,0,1,0,1,1,-0.38543091177575634,NA
NOTCH2,3,0,1,0,1,1,1,1,0.5228222453696336,2.113585764048268
NR2C2,4,0,1,0,1,1,1,1,NA,4.669999754213626
PARD6A,0,0.61,0,0.39,-0.39,0,-0.39,-1,NA,NA
PARP1,0,0,1,0,1,0,1,1,-0.16835312193944846,NA
PGD,0,0,1,0,1,0,1,1,-0.18310729514293753,NA
PIAS1,4,0,0,1,-1,0,-1,-1,NA,NA
PKM,2,0,0.5,0.5,0,0.5,0,0,0.37889864780224586,3.484213080443499
PKN1,0,0.74,0.26,0,0.26,0,0.26,1,0.03072209160560564,NA
PLAUR,3,0,1,0,1,1,1,1,0.8264210998810806,3.1512489203514717
PPP1CA,0,0,0,1,-1,0,-1,-1,-0.27072038577055696,NA
PRKAA1,0,0.56,0,0.44,-0.44,0,-0.44,-1,NA,NA
PRKACA,0,0,1,0,1,0,1,1,0.12813569305362355,NA
PRKCA,0,0,0.5,0.5,0,0,0,0,0.33021985179263474,NA
PRKCE,0,0,1,0,1,0,1,1,NA,NA
PSEN1,2,0.74,0,0.26,-0.26,0,-0.26,-1,NA,NA
PSMA7,0,0,0,1,-1,0,-1,-1,0.058505237544641014,NA
PTGES3,0,0,0,1,-1,0,-1,-1,-0.16595185181351194,NA
PTPN2,0,0.81,0.19,0,0.19,0,0.19,1,-0.29449608600167243,NA
PTPN6,2,0.45,0.24,0.31,-0.07,0,-0.07,-1,NA,NA
RBL2,0,0,0,1,-1,0,-1,-1,NA,NA
RELA,4,0,1,0,1,1,1,1,0.08303590690100249,4.9281664973094355
RHEB,0,0,0,1,-1,0,-1,-1,0.2818781520169039,NA
RPS6KB1,0,0,0,1,-1,0,-1,-1,-0.11933999295104365,NA
RUNX2,4,0,1,0,1,1,1,1,NA,4.134625326034755
SCARB1,1,0,0,1,-1,1,-1,-1,-0.05096430259800608,0.17242554121577186
SGK1,0,0,0,1,-1,0,-1,-1,NA,NA
SLC6A9,0,0,1,0,1,0,1,1,NA,NA
SLC7A1,0,0,1,0,1,0,1,1,NA,NA
SMAD3,3,0,1,0,1,1,1,1,0.536747424152377,2.4309749616721237
SMAD4,4,0,1,0,1,1,1,1,NA,4.248389521307576
SMAD7,4,0,0,1,-1,1,-1,-1,NA,-1.516559624676011
SMO,0,0,1,0,1,0,1,1,NA,NA
SNAI1,4,0,0,1,-1,1,-1,-1,NA,-3.058900127951138
SOX9,4,0,0,1,-1,1,-1,-1,-0.1286578188789568,-0.794037952168694
SP1,4,0,1,0,1,1,1,1,NA,6.548647971788003
SP3,4,0,1,0,1,1,1,1,NA,4.855903176143911
SPAG9,0,0,0,1,-1,0,-1,-1,NA,NA
SQSTM1,0,0.7,0.3,0,0.3,0,0.3,1,0.6627449520386045,NA
SRC,0,0,0.5,0.5,0,0,0,0,0.05481969463527677,NA
SRF,4,0,1,0,1,1,1,1,0.14142688010021284,5.798701987340493
STAT1,4,0,1,0,1,1,1,1,0.34807099235725897,7.648270674169067
STAT2,4,0,1,0,1,1,1,1,0.213514807762419,3.805799978940921
STAT6,4,0,1,0,1,1,1,1,0.21615876688910515,3.6670073049952667
SUMO1,0,0.8,0,0.2,-0.2,0,-0.2,-1,-0.020311828296643394,NA
TFAP2A,4,0,1,0,1,1,1,1,0.06301276122758599,4.804144781263376
TFDP1,4,0,0,1,-1,1,-1,-1,-0.17416690271381088,-1.5144247787747074
TGFB1,2,0,1,0,1,1,1,1,0.25429419615002025,2.3643022949113845
TGFB1I1,4,0.92,0.08,0,0.08,0,0.08,1,0.342483014067351,NA
TGFBR1,3,0.61,0,0.39,-0.39,0,-0.39,-1,NA,NA
TKT,0,0,1,0,1,0,1,1,0.060373341766517506,NA
TLN1,2,0,1,0,1,1,1,1,0.44964433907752366,2.968846014180691
TP53,4,0,1,0,1,1,1,1,0.1118017974570899,4.208566647014177
TRAF2,3,0,0,1,-1,1,-1,-1,-0.13058530922049594,-0.3691261830649947
TRAF6,0,0.44,0.56,0,0.56,0,0.56,1,NA,NA
TYK2,0,0.27,0.73,0,0.73,0,0.73,1,-0.025958999324639905,NA
USF1,4,0,1,0,1,1,1,1,-0.08281490468127543,3.9954695307158516
VCL,2,0,1,0,1,1,1,1,0.6791003638074689,3.683734906732846
VEGFA,2,0,1,0,1,1,1,1,0.4405209152828221,2.8870636316293954
VIM,2,0,1,0,1,1,1,1,0.6985709182192692,4.481381063222974
XBP1,4,0,1,0,1,1,1,1,-0.23213657091929213,3.733235044174266
YY1,4,0,0,1,-1,1,-1,-1,0.20300166734069489,-0.583776651576867
