Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity
GAPDH,P,0,1,0,1,1,1
GATA2,P,0,0,1,-1,1,-1
GLI2,,0,0,1,-1,0,-1
GSTP1,M,0,1,0,1,1,1
HDAC1,P,0,0,1,-1,1,-1
HDAC3,P,0,0,1,-1,1,-1
HIF1A,P,0,1,0,1,1,1
HIPK2,P,0,1,0,1,1,1
HMGB1,P,0,1,0,1,1,1
HRAS,P,0,1,0,1,1,1
HSP90AA1,M,0,1,0,1,1,1
IFITM1,M,0,1,0,1,1,1
IFNAR2,P,0,1,0,1,1,1
IFNGR1,P,0,1,0,1,1,1
IKBKG,P,0,1,0,1,1,1
IL6,M,0,1,0,1,1,1
ING2,P,0,1,0,1,1,1
INSR,,0,0,1,-1,0,-1
IRAK1,P,0,1,0,1,1,1
IRF9,P,0,1,0,1,1,1
JAK1,P,0,1,0,1,1,1
JUN,P,0,1,0,1,1,1
JUNB,P,0,1,0,1,1,1
JUND,P,0,1,0,1,1,1
KAT2A,P,0,1,0,1,1,1
KDM4C,P,0,1,0,1,1,1
KDM6A,P,0,1,0,1,1,1
KITLG,P,0,1,0,1,1,1
KMT2A,P,0,0,1,-1,1,-1
LYN,P,0,1,0,1,1,1
MAD2L2,P,0,1,0,1,1,1
MAP2K1,P,0,1,0,1,1,1
MAP2K2,P,0,1,0,1,1,1
MAP2K4,P,0,1,0,1,1,1
MAP3K11,P,0,1,0,1,1,1
MAP3K14,P,0,1,0,1,1,1
MAP3K7,P,0,1,0,1,1,1
MAPK1,P,0,1,0,1,1,1
MAPK11,P,0,1,0,1,1,1
MAPK12,P,0,1,0,1,1,1
MAPK14,P,0,1,0,1,1,1
MAPK3,P,0,1,0,1,1,1
MAPK7,P,0,1,0,1,1,1
MAPK8,P,0,1,0,1,1,1
MAPK9,P,0,1,0,1,1,1
MAPKAPK2,P,0,1,0,1,1,1
MAPKAPK5,P,0,1,0,1,1,1
MAX,P,0,1,0,1,1,1
MCPH1,P,0,1,0,1,1,1
MDM2,P,0,1,0,1,1,1
MEF2D,P,0,1,0,1,1,1
MET,P,0,1,0,1,1,1
MIF,M,0,1,0,1,1,1
MTMR4,P,0,1,0,1,1,1
MTOR,P,0,1,0,1,1,1
MYC,P,0,1,0,1,1,1
MYLK,M,0,1,0,1,1,1
NCL,M,0,1,0,1,1,1
NFE2L2,P,0,1,0,1,1,1
NFKB1,P,0,1,0,1,1,1
NFYB,P,0,1,0,1,1,1
NLK,P,0,1,0,1,1,1
NMI,P,0,0,1,-1,1,-1
NR2C2,P,0,1,0,1,1,1
NR2F1,P,0,0,1,-1,1,-1
NSD1,P,0,1,0,1,1,1
NUAK1,P,0,1,0,1,1,1
NUP153,P,0,1,0,1,1,1
NUP214,P,0,1,0,1,1,1
PARP1,P,0,1,0,1,1,1
PCNA,P,0,1,0,1,1,1
PDIA3,P,0,1,0,1,1,1
PDPK1,P,0,1,0,1,1,1
PELP1,P,0,1,0,1,1,1
PIAS1,P,0,1,0,1,1,1
PIAS3,P,0,1,0,1,1,1
PIM1,P,0,1,0,1,1,1
PIN1,P,0,1,0,1,1,1
PKM,M,0,1,0,1,1,1
PKN1,P,0,1,0,1,1,1
PLAUR,M,0,1,0,1,1,1
PLK1,P,0,1,0,1,1,1
PLK3,P,0,1,0,1,1,1
PML,P,0,1,0,1,1,1
PPM1A,P,0,1,0,1,1,1
PPP1CA,P,0,0,1,-1,1,-1
PPP2CA,P,0,1,0,1,1,1
PPP2R5A,P,0,1,0,1,1,1
PPP2R5D,P,0,0,1,-1,1,-1
PPP4C,P,0,1,0,1,1,1
PRKACA,P,0,1,0,1,1,1
PRKCA,P,0,1,0,1,1,1
PRKDC,P,0,1,0,1,1,1
PTK2,P,0,1,0,1,1,1
PTK2B,P,0,1,0,1,1,1
PTPN1,P,0,1,0,1,1,1
PTPN11,P,0,1,0,1,1,1
PTPN12,,0.5,0.5,0,0.5,0,0.5
PXK,P,0,1,0,1,1,1
RAC1,P,0,1,0,1,1,1
RAF1,P,0,1,0,1,1,1
RALA,P,0,1,0,1,1,1
RANBP3,P,0,1,0,1,1,1
RB1,P,0,1,0,1,1,1
REL,P,0,1,0,1,1,1
RELA,P,0,1,0,1,1,1
RHOA,P,0,1,0,1,1,1
RIPK1,P,0,1,0,1,1,1
RIPK2,P,0,1,0,1,1,1
RNF111,P,0,1,0,1,1,1
ROCK1,P,0,1,0,1,1,1
RPS6KA1,P,0,1,0,1,1,1
RPS6KA2,P,0,1,0,1,1,1
RPS6KA3,P,0,1,0,1,1,1
RPS6KA4,P,0,1,0,1,1,1
RUNX1,P,0,0,1,-1,1,-1
SERPINE1,M,0,1,0,1,1,1
SMAD1,P,0,1,0,1,1,1
SMAD2,P,0,1,0,1,1,1
SMAD3,P,0,1,0,1,1,1
SMARCB1,P,0,1,0,1,1,1
SOCS3,,0.5,0.5,0,0.5,0,0.5
SP1,P,0,1,0,1,1,1
SP3,P,0,1,0,1,1,1
SPAG9,P,0,1,0,1,1,1
SRC,P,0,1,0,1,1,1
SRCAP,P,0,1,0,1,1,1
SRF,P,0,1,0,1,1,1
SRPK2,P,0,1,0,1,1,1
STAT1,P,0,1,0,1,1,1
STAT2,P,0,1,0,1,1,1
STAT3,P,0,1,0,1,1,1
STK11,P,0,1,0,1,1,1
STK16,P,0,1,0,1,1,1
TAB2,P,0,1,0,1,1,1
TADA3,P,0,1,0,1,1,1
TBK1,P,0,1,0,1,1,1
TBP,P,0,1,0,1,1,1
TCF3,P,0,0,1,-1,1,-1
TDG,P,0,1,0,1,1,1
TFAP2A,P,0,1,0,1,1,1
TFDP1,P,0,1,0,1,1,1
TFDP2,P,0,1,0,1,1,1
TFRC,M,0,1,0,1,1,1
TGFB1,P,0,1,0,1,1,1
TGFBR1,P,0,1,0,1,1,1
TGFBR2,P,0,1,0,1,1,1
TIMP1,M,0,1,0,1,1,1
TNK2,P,0,1,0,1,1,1
TP53,P,0,1,0,1,1,1
TRAF2,P,0,1,0,1,1,1
TRAF6,P,0,1,0,1,1,1
TRIM33,P,0,1,0,1,1,1
TXN,P,0,1,0,1,1,1
TYK2,P,0,1,0,1,1,1
UBE2D1,P,0,1,0,1,1,1
UCHL5,P,0,1,0,1,1,1
USF1,P,0,1,0,1,1,1
VDR,P,0,1,0,1,1,1
VIM,M,0,1,0,1,1,1
VRK1,P,0,1,0,1,1,1
WNK1,P,0,1,0,1,1,1
ZFYVE9,P,0,1,0,1,1,1
ZMIZ1,P,0,1,0,1,1,1
