Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,weights
CTCF,4,0,0,1,-1,1,-1,-1,-2.707010628318645
CTDSPL,5,0,1,0,1,1,1,1,2.0211076385378326
DAB2,5,0,1,0,1,1,1,1,2.1386807087453445
DAPK1,5,0,1,0,1,1,1,1,2.10049593343915
DAPK3,5,0,1,0,1,1,1,1,2.368781710459493
DDB1,5,0,1,0,1,1,1,1,2.1484143054406784
DDX17,5,0,1,0,1,1,1,1,2.326751977489298
DDX21,5,0,1,0,1,1,1,1,3.339030327164119
DUSP22,5,0,1,0,1,1,1,1,5.057463432735008
DUSP6,5,0,1,0,1,1,1,1,3.6122546380151572
DVL1,5,0,1,0,1,1,1,1,3.7350669083614343
DYRK1B,5,0,1,0,1,1,1,1,5.625540936429419
E2F4,4,0,1,0,1,1,1,1,3.5393169198281442
E2F7,4,0,1,0,1,1,1,1,2.698264211915664
EFEMP1,2,0,1,0,1,1,1,1,2.4460197441310503
EFEMP1,2,0,1,0,1,1,1,1,2.4460197441310503
EGFR,3,0,1,0,1,1,1,1,2.660052081667622
EGR1,4,0,1,0,1,1,1,1,2.1860964434363543
EIF2AK2,5,0,1,0,1,1,1,1,3.3136331746066805
ELK1,4,0,1,0,1,1,1,1,3.294972040347037
ELK4,4,0,1,0,1,1,1,1,2.435636782130282
EP300,5,0,1,0,1,1,1,1,2.1087788535703043
EPAS1,4,0,1,0,1,1,1,1,3.9198272519655304
EPHB2,5,0,1,0,1,1,1,1,2.243131008720154
ETS1,4,0,1,0,1,1,1,1,4.025419568982185
ETV4,4,0,1,0,1,1,1,1,2.917473256971483
FBXW7,5,0.5,0.5,0,0.5,0,0.5,1,NA
FER,5,0,1,0,1,1,1,1,3.5751124688926934
FGFR1,5,0,1,0,1,1,1,1,2.9082599903682054
FOSL1,4,0,1,0,1,1,1,1,5.161068515761865
FOSL2,4,0,1,0,1,1,1,1,4.636203384868185
FYN,5,0,1,0,1,1,1,1,2.9460556671419647
GAPDH,5,0,1,0,1,1,1,1,2.69595653962742
GATA2,4,0,0,1,-1,1,-1,-1,-3.120663694065704
GATA6,4,0,1,0,1,1,1,1,2.3239218864406985
Gene1766__orphanReacr1435,0,0.33333333333333326,0.6666666666666665,0,0.6666666666666665,0,0.6666666666666665,1,NA
Gene6254__PLD2,0,0.6666666666666665,0.33333333333333326,0,0.33333333333333326,0,0.33333333333333326,1,NA
Gene7548__SHMT1_reverse,0,0.33333333333333326,0.6666666666666665,0,0.6666666666666665,0,0.6666666666666665,1,NA
Gene808__SHMT1_reverse,0,0.6666666666666665,0.33333333333333326,0,0.33333333333333326,0,0.33333333333333326,1,NA
GLI2,4,0,0,1,-1,0,-1,-1,NA
GSK3A,5,0.5,0,0.5,-0.5,0,-0.5,-1,NA
GSTP1,2,0,1,0,1,1,1,1,2.1476789900886764
GSTP1,2,0,1,0,1,1,1,1,2.1476789900886764
HDAC1,5,0,0,1,-1,1,-1,-1,-2.523121780987724
HDAC3,5,0,0,1,-1,1,-1,-1,-2.9816154676839592
HIF1A,4,0,1,0,1,1,1,1,5.708685963415939
HIPK2,5,0,1,0,1,1,1,1,2.1810470481484563
HMGB1,5,0,1,0,1,1,1,1,3.2364006654651987
HRAS,2,0,1,0,1,1,1,1,5.620117767067175
HSF1,4,0.5,0.5,0,0.5,0,0.5,1,NA
HSP90AA1,2,0,1,0,1,1,1,1,2.3450041285814027
HSP90AA1,2,0,1,0,1,1,1,1,2.3450041285814027
IFITM1,1,0,1,0,1,1,1,1,2.9805452315280196
IFITM1,1,0,1,0,1,1,1,1,2.9805452315280196
IFNAR2,5,0,1,0,1,1,1,1,2.0059935744085986
IFNGR1,5,0,1,0,1,1,1,1,2.755811687991842
IKBKG,5,0,1,0,1,1,1,1,4.247892768738635
IL6,2,0,1,0,1,1,1,1,2.4135962132730153
IL6,2,0,1,0,1,1,1,1,2.4135962132730153
ING2,5,0,1,0,1,1,1,1,2.092279322099706
INSR,3,0,0,1,-1,0,-1,-1,NA
IRAK1,5,0,1,0,1,1,1,1,4.364457214327971
IRF9,4,0,1,0,1,1,1,1,2.312138923516418
JAK1,5,0,1,0,1,1,1,1,2.9205926295277185
JUN,4,0,1,0,1,1,1,1,5.492122684827981
JUNB,4,0,1,0,1,1,1,1,3.1337885473138805
JUND,4,0,1,0,1,1,1,1,4.613943643965966
KAT2A,5,0,1,0,1,1,1,1,4.409339180713263
KDM4C,5,0,1,0,1,1,1,1,2.819441180326615
KDM6A,5,0,1,0,1,1,1,1,2.81944428219416
KITLG,5,0,1,0,1,1,1,1,2.5454381628112728
LYN,5,0,1,0,1,1,1,1,4.607441231712664
MAP2K1,5,0,1,0,1,1,1,1,5.232701841381407
MAP2K2,5,0,1,0,1,1,1,1,4.496829082879218
MAP2K4,5,0,1,0,1,1,1,1,3.8916486493857385
MAP3K11,5,0,1,0,1,1,1,1,2.842960280270906
MAP3K14,5,0,1,0,1,1,1,1,4.344777853693587
MAP3K7,5,0,1,0,1,1,1,1,4.435357876757402
MAPK1,5,0,1,0,1,1,1,1,4.980807859845421
MAPK11,5,0,1,0,1,1,1,1,3.5816095975183693
MAPK12,5,0,1,0,1,1,1,1,4.155576431838503
MAPK14,5,0,1,0,1,1,1,1,5.085701462638252
MAPK3,5,0,1,0,1,1,1,1,5.440009442296216
MAPK7,5,0,1,0,1,1,1,1,2.8671675783973645
MAPK8,5,0,1,0,1,1,1,1,6.120708456188962
MAPK9,5,0,1,0,1,1,1,1,5.483843836761011
MAPKAPK2,5,0,1,0,1,1,1,1,2.292866869328348
MAPKAPK5,5,0,1,0,1,1,1,1,4.14953530514937
MAX,4,0,1,0,1,1,1,1,2.103125943688467
MDM2,5,0,1,0,1,1,1,1,2.2451028591086732
MED1,5,0.5,0.5,0,0.5,0,0.5,1,NA
MEF2D,4,0,1,0,1,1,1,1,2.529350281932846
MET,5,0,1,0,1,1,1,1,3.9306343696485793
Metab__HMDB0000187_c,1,0,1,0,1,1,1,1,2.7076666666666664
Metab__HMDB0000187_m,1,0,1,0,1,1,1,1,2.7076666666666664
MIF,2,0,1,0,1,1,1,1,2.6420614176859036
MIF,2,0,1,0,1,1,1,1,2.6420614176859036
MTOR,5,0,1,0,1,1,1,1,4.845935322472414
MYC,4,0,1,0,1,1,1,1,10.440506983635254
NCL,5,0,1,0,1,1,1,1,2.074363590400305
NCL,5,0,1,0,1,1,1,1,2.074363590400305
NFE2L2,4,0,1,0,1,1,1,1,4.606016392635326
NFKB1,4,0,1,0,1,1,1,1,5.469656749427148
NLK,5,0,1,0,1,1,1,1,2.147082182808954
NMI,5,0,0,1,-1,1,-1,-1,-2.0720860845824958
NR2C2,4,0,1,0,1,1,1,1,2.2363064149638654
NSD1,5,0,1,0,1,1,1,1,3.6516561274157464
NUAK1,5,0,1,0,1,1,1,1,2.481295695777394
NUP153,5,0,1,0,1,1,1,1,2.0970623542739357
NUP214,5,0,1,0,1,1,1,1,2.4964853006181142
PARP1,5,0,1,0,1,1,1,1,3.5889084402314877
PCNA,5,0,1,0,1,1,1,1,3.215461968925045
PDIA3,5,0,1,0,1,1,1,1,3.7908053211555934
PDPK1,5,0,1,0,1,1,1,1,4.370007716363114
PELP1,5,0,1,0,1,1,1,1,3.82824268561874
PIAS1,5,0,1,0,1,1,1,1,2.3691715751735485
PIAS3,5,0,1,0,1,1,1,1,3.8769745022026276
PIM1,5,0,1,0,1,1,1,1,4.073429358567768
PIN1,5,0,1,0,1,1,1,1,3.8932203002852797
PKM,2,0,1,0,1,1,1,1,4.515803818078965
PKM,2,0,1,0,1,1,1,1,4.515803818078965
PKN1,5,0,1,0,1,1,1,1,3.854201541491234
PLD2,0,0.6666666666666665,0.33333333333333326,0,0.33333333333333326,0,0.33333333333333326,1,NA
PLK1,5,0,1,0,1,1,1,1,2.9143463538439827
PLK3,5,0,1,0,1,1,1,1,2.4960100484187504
PML,5,0,1,0,1,1,1,1,3.09498626618543
PPM1A,5,0,1,0,1,1,1,1,2.246340133970565
PPP1CA,5,0,0,1,-1,1,-1,-1,-2.825994057491527
PPP2CA,5,0,1,0,1,1,1,1,4.168735761564937
PPP2R5A,5,0,1,0,1,1,1,1,5.28386327488668
PPP2R5D,5,0,0,1,-1,1,-1,-1,-2.5054397216440627
PPP4C,5,0,1,0,1,1,1,1,2.7774888385414953
PRKACA,5,0,1,0,1,1,1,1,4.0203624677330225
PRKCA,5,0,1,0,1,1,1,1,4.7953773683244645
PRKDC,5,0,1,0,1,1,1,1,4.2690239757354025
PTK2,5,0,1,0,1,1,1,1,2.0329956354356353
PTK2B,5,0,1,0,1,1,1,1,4.96294412016575
PTPN1,5,0,1,0,1,1,1,1,2.2704795796196318
PTPN11,5,0,1,0,1,1,1,1,3.2944883464409984
PTPN12,0,0.5,0.5,0,0.5,0,0.5,1,NA
PXK,5,0,1,0,1,1,1,1,2.76616836878284
RAC1,5,0,1,0,1,1,1,1,4.923596561548312
RAD21,5,0.5,0.5,0,0.5,0,0.5,1,NA
RAF1,5,0,1,0,1,1,1,1,4.1725773114551625
RALA,5,0,1,0,1,1,1,1,4.36264175101962
RANBP3,5,0,1,0,1,1,1,1,2.0002890188704585
RB1,5,0,1,0,1,1,1,1,3.270486902251511
REL,4,0,1,0,1,1,1,1,2.412572896920115
RELA,4,0,1,0,1,1,1,1,4.769207134352765
RHOA,5,0,1,0,1,1,1,1,4.293273378130368
RIPK1,5,0,1,0,1,1,1,1,3.6203913120447764
RIPK2,5,0,1,0,1,1,1,1,6.150496758208618
RNF111,5,0,1,0,1,1,1,1,2.3042468215492087
ROCK1,5,0,1,0,1,1,1,1,3.46800627995839
RPS6KA1,5,0,1,0,1,1,1,1,2.7849029597916495
RPS6KA2,5,0,1,0,1,1,1,1,2.1697784634661716
RPS6KA3,5,0,1,0,1,1,1,1,3.750668186601674
RPS6KA4,5,0,1,0,1,1,1,1,4.443462904914871
RUNX1,4,0,0,1,-1,1,-1,-1,-2.27013326044975
SHMT1,0,0.33333333333333326,0.6666666666666665,0,0.6666666666666665,0,0.6666666666666665,1,NA
SMAD1,4,0,1,0,1,1,1,1,2.3137532150773144
SMAD2,5,0,1,0,1,1,1,1,3.1220731433373645
SMAD3,3,0,1,0,1,1,1,1,2.716843470828514
SMARCB1,5,0,1,0,1,1,1,1,3.3322487815085067
SOCS3,5,0.5,0.5,0,0.5,0,0.5,1,NA
SOX9,4,0,0,1,-1,0,-1,-1,NA
SP1,4,0,1,0,1,1,1,1,6.2675668403572
SP3,4,0,1,0,1,1,1,1,2.932648673186884
SPAG9,5,0,1,0,1,1,1,1,3.7591057170304794
SRC,5,0,1,0,1,1,1,1,3.8180794556185567
SRCAP,5,0,1,0,1,1,1,1,2.828158883009442
SRF,4,0,1,0,1,1,1,1,5.223464101131817
SRPK2,5,0,1,0,1,1,1,1,3.9572957209410986
STAT1,4,0,1,0,1,1,1,1,2.5258816731370106
STAT2,4,0,1,0,1,1,1,1,2.7817983935961266
STAT3,4,0,1,0,1,1,1,1,6.444324342537765
STK11,5,0,1,0,1,1,1,1,2.585308481345933
STK16,5,0,1,0,1,1,1,1,3.0050198164595967
SUMO1,5,0,0,1,-1,0,-1,-1,NA
TAB2,5,0,1,0,1,1,1,1,2.4862590315554045
TADA3,5,0,1,0,1,1,1,1,2.803562864422329
TBK1,5,0,1,0,1,1,1,1,3.6181653582701383
TBP,4,0,1,0,1,1,1,1,3.9036449691298625
TCF3,4,0,0,1,-1,1,-1,-1,-2.272354398296431
TDG,5,0,1,0,1,1,1,1,2.451190034341693
TFAP2A,4,0,1,0,1,1,1,1,2.378713188605103
TFDP1,4,0,1,0,1,1,1,1,2.996435245402726
TFDP2,5,0,1,0,1,1,1,1,2.9299512473702283
TGFB1,2,0,1,0,1,1,1,1,3.7326290209851396
TGFBR1,3,0,1,0,1,1,1,1,3.222839811984707
TGFBR2,3,0,1,0,1,1,1,1,3.0068007082555623
TIMP1,1,0,1,0,1,1,1,1,4.675368401207515
TIMP1,1,0,1,0,1,1,1,1,4.675368401207515
TNK2,5,0,1,0,1,1,1,1,2.005958185095474
TOPORS,5,0.5,0,0.5,-0.5,0,-0.5,-1,NA
TP53,4,0,1,0,1,1,1,1,3.405728637033259
TRAF2,3,0,1,0,1,1,1,1,4.314618646328965
TRAF6,5,0,1,0,1,1,1,1,3.742485324561162
TRIM33,5,0,1,0,1,1,1,1,2.0970623542739357
TXN,5,0,1,0,1,1,1,1,3.6522348466217838
TYK2,5,0,1,0,1,1,1,1,3.021550683727822
UBE2D1,5,0,1,0,1,1,1,1,2.21938914556962
UCHL5,5,0,1,0,1,1,1,1,2.3042468215492087
USF1,4,0,1,0,1,1,1,1,3.3131563489429072
VDR,4,0,1,0,1,1,1,1,3.724724445757969
VRK1,5,0,1,0,1,1,1,1,3.1490050204693585
WNK1,5,0,1,0,1,1,1,1,4.782884975851185
YY1,4,0,0,1,-1,0,-1,-1,NA
ZFYVE9,5,0,1,0,1,1,1,1,2.3042468215492087
ZMIZ1,5,0,1,0,1,1,1,1,4.738906965699029
