Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity,sign_activity,weights
RBL2,0,0.58,0.42,0,0.42,0,0.42,1,NA
RFX1,1,0,0,1,-1,1,-1,-1,NA
RPS6KA1,0,0.75,0.25,0,0.25,0,0.25,1,2.2636103983413225
RPS6KA3,0,0.75,0.25,0,0.25,0,0.25,1,4.138902155232744
RUNX1,1,0,0,1,-1,1,-1,-1,NA
SKP2,1,0,0,1,-1,1,-1,-1,1.941587362112275
SKP2,1,0,0,1,-1,1,-1,-1,-2.6715265150939524
SLC38A2,0,0,1,0,1,0,1,1,NA
SLC5A3,0,0.62,0.38,0,0.38,0,0.38,1,NA
SMAD4,1,0,0,1,-1,1,-1,-1,NA
SMARCB1,1,0,1,0,1,1,1,1,-0.3958279714565405
SMARCB1,1,0,1,0,1,1,1,1,3.2538829363715536
SP1,1,0,1,0,1,1,1,1,NA
SRC,0,0.63,0,0.37,-0.37,0,-0.37,-1,3.3170383770735627
SREBF1,0,0.81,0.19,0,0.19,0,0.19,1,NA
SREBF2,1,0,1,0,1,1,1,1,NA
STAT1,1,0,0,1,-1,1,-1,-1,NA
STAT5B,1,0,0,1,-1,1,-1,-1,NA
SUMO1,0,0,0,1,-1,0,-1,-1,0.6259769599594808
TAB1,1,0,1,0,1,1,1,1,3.0186385151883943
TAB1,1,0,1,0,1,1,1,1,-1.3179286489520092
TAB2,1,0,1,0,1,1,1,1,3.0186385151883943
TAB2,1,0,1,0,1,1,1,1,-1.3179286489520092
TCF12,1,0,0,1,-1,1,-1,-1,NA
TFDP1,1,0,1,0,1,1,1,1,NA
TFDP2,1,0,1,0,1,1,1,1,-1.56890285211923
TFDP2,1,0,1,0,1,1,1,1,3.501567961179864
TNFRSF14,3,0,1,0,1,1,1,1,2.26458852709664
TNFRSF14,3,0,1,0,1,1,1,1,2.26458852709664
TP53,0,0,0,1,-1,0,-1,-1,NA
TRAF2,3,0,1,0,1,1,1,1,0.6751184917949874
TRAF2,3,0,1,0,1,1,1,1,2.023086983147638
UBE2I,1,0,1,0,1,1,1,1,-2.377773748304351
UBE2I,1,0,1,0,1,1,1,1,2.0721345657227452
USF1,0,0,1,0,1,0,1,1,NA
YBX1,1,0,1,0,1,1,1,1,2.8437300141911988
YBX1,1,0,1,0,1,1,1,1,2.8437300141911988
YWHAQ,1,0,1,0,1,1,1,1,-1.0543191082637235
YWHAQ,1,0,1,0,1,1,1,1,2.543991870713031
ZMIZ1,1,0,1,0,1,1,1,1,4.385590140263497
ZMIZ1,1,0,1,0,1,1,1,1,-0.7405016533460359
