Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity
HIF1A,M,0,1,0,1,1,1
HRAS,P,0,1,0,1,1,1
HSF1,M,0,1,0,1,1,1
HSP90AA1,P,0,1,0,1,1,1
HSP90B1,P,0,1,0,1,1,1
IKBKG,P,0,1,0,1,1,1
IRAK1,P,0,1,0,1,1,1
ITGA5,P,0,1,0,1,1,1
ITGB1,P,0,1,0,1,1,1
JUN,M,0,1,0,1,1,1
JUNB,M,0,1,0,1,1,1
JUND,M,0,1,0,1,1,1
KAT2A,P,0,1,0,1,1,1
KAT5,P,0,1,0,1,1,1
KDM4C,P,0,1,0,1,1,1
KLF4,M,0,1,0,1,1,1
KLF5,M,0,1,0,1,1,1
KMT2A,M,0,0,1,-1,1,-1
LRP1,P,0,1,0,1,1,1
LYN,P,0,1,0,1,1,1
MAD2L2,P,0,1,0,1,1,1
MAP2K1,P,0,1,0,1,1,1
MAP2K2,P,0,1,0,1,1,1
MAP2K4,P,0,1,0,1,1,1
MAP3K14,P,0,1,0,1,1,1
MAP3K7,P,0,1,0,1,1,1
MAPK1,P,0,1,0,1,1,1
MAPK11,P,0,1,0,1,1,1
MAPK12,P,0,1,0,1,1,1
MAPK14,P,0,1,0,1,1,1
MAPK3,P,0,1,0,1,1,1
MAPK7,P,0,1,0,1,1,1
MAPK8,P,0,1,0,1,1,1
MAPK9,P,0,1,0,1,1,1
MAPKAPK2,P,0,1,0,1,1,1
MAPKAPK5,P,0,1,0,1,1,1
MAX,M,0,1,0,1,1,1
MAZ,M,0,1,0,1,1,1
MCPH1,P,0,1,0,1,1,1
MDK,P,0,1,0,1,1,1
MDM2,P,0,1,0,1,1,1
MEN1,,0,0,1,-1,0,-1
MET,P,0,1,0,1,1,1
Metab__HMDB0000067_c,,0,1,0,1,0,1
Metab__HMDB0000148_c,,0,1,0,1,0,1
Metab__HMDB0000159_c,M,0,1,0,1,1,1
Metab__HMDB0000177_c,M,0,1,0,1,1,1
Metab__HMDB0000187_c,M,0,1,0,1,1,1
Metab__HMDB0000187_m,M,0,1,0,1,1,1
Metab__HMDB0000641_c,M,0,1,0,1,1,1
Metab__HMDB0000696_c,M,0,1,0,1,1,1
Metab__HMDB0000742_c,,0,1,0,1,0,1
Metab__HMDB0000939_c,,0,1,0,1,0,1
MIF,P,0,1,0,1,1,1
MMP2,P,0,1,0,1,1,1
MNAT1,P,0,1,0,1,1,1
MNT,M,0,1,0,1,1,1
MTOR,P,0,1,0,1,1,1
MXI1,M,0,1,0,1,1,1
MYC,M,0,1,0,1,1,1
NCL,P,0,1,0,1,1,1
NDN,P,0,1,0,1,1,1
NFE2L2,M,0,1,0,1,1,1
NFKB1,M,0,1,0,1,1,1
NFYA,M,0,1,0,1,1,1
NMI,P,0,0,1,-1,1,-1
NR1H2,M,0,1,0,1,1,1
NSD1,P,0,1,0,1,1,1
PAK1,,0,0,1,-1,0,-1
PARP1,P,0,1,0,1,1,1
PCNA,P,0,1,0,1,1,1
PDIA3,P,0,1,0,1,1,1
PDPK1,P,0,1,0,1,1,1
PELP1,P,0,1,0,1,1,1
PIAS1,,0,0,1,-1,0,-1
PIAS3,P,0,1,0,1,1,1
PIK3R1,P,0,1,0,1,1,1
PIM1,P,0,1,0,1,1,1
PIN1,P,0,1,0,1,1,1
PKM,P,0,1,0,1,1,1
PKN1,P,0,1,0,1,1,1
PLAU,P,0,1,0,1,1,1
PLAUR,P,0,1,0,1,1,1
PLD2,,0.53,0.47,0,0.47,0,0.47
PLK1,P,0,1,0,1,1,1
PPP1CA,P,0,0,1,-1,1,-1
PPP2CA,P,0,1,0,1,1,1
PPP2R5A,P,0,1,0,1,1,1
PPP2R5D,P,0,0,1,-1,1,-1
PRKACA,P,0,1,0,1,1,1
PRKCA,P,0,1,0,1,1,1
PRKCD,P,0,1,0,1,1,1
PRKDC,P,0,1,0,1,1,1
PTK2B,P,0,1,0,1,1,1
PTPN11,P,0,1,0,1,1,1
PXK,P,0,1,0,1,1,1
RAC1,P,0,1,0,1,1,1
RAF1,P,0,1,0,1,1,1
RALA,P,0,1,0,1,1,1
RARA,M,0,1,0,1,1,1
RHOA,P,0,1,0,1,1,1
RIPK2,P,0,1,0,1,1,1
ROCK1,P,0,1,0,1,1,1
RPS6KA1,P,0,1,0,1,1,1
RPS6KA3,P,0,1,0,1,1,1
RPS6KA4,P,0,1,0,1,1,1
RXRA,M,0,1,0,1,1,1
SEMA7A,P,0,1,0,1,1,1
SERPINE1,P,0,1,0,1,1,1
SHMT1,,0.47,0.53,0,0.53,0,0.53
SMAD1,M,0,1,0,1,1,1
SMAD2,P,0,1,0,1,1,1
SMAD5,M,0,1,0,1,1,1
SMAD7,P,0,1,0,1,1,1
SMARCA4,,0.44,0.56,0,0.56,0,0.56
SMARCB1,P,0,1,0,1,1,1
SOX9,,0,0,1,-1,0,-1
SP3,M,0,1,0,1,1,1
SPAG9,P,0,1,0,1,1,1
SPARC,P,0,1,0,1,1,1
SRC,P,0,1,0,1,1,1
SRCAP,P,0,1,0,1,1,1
SREBF1,M,0,1,0,1,1,1
SREBF2,M,0,1,0,1,1,1
SRF,M,0,1,0,1,1,1
SRPK2,P,0,1,0,1,1,1
STAT3,M,0,1,0,1,1,1
STK11,P,0,1,0,1,1,1
STK16,P,0,1,0,1,1,1
TBK1,P,0,1,0,1,1,1
TBP,M,0,1,0,1,1,1
TCF3,M,0,1,0,1,1,1
TFAP2A,M,0,1,0,1,1,1
TFDP1,M,0,1,0,1,1,1
TFDP2,P,0,1,0,1,1,1
TGFB1,P,0,1,0,1,1,1
TGFBR1,P,0,1,0,1,1,1
THBS1,P,0,1,0,1,1,1
THRA,P,0,1,0,1,1,1
TIMP1,P,0,1,0,1,1,1
TIMP2,P,0,1,0,1,1,1
TP53,M,0,1,0,1,1,1
TRAF2,P,0,1,0,1,1,1
TRAF6,P,0,1,0,1,1,1
TXN,P,0,1,0,1,1,1
USF1,M,0,1,0,1,1,1
VDR,M,0,1,0,1,1,1
VRK1,P,0,1,0,1,1,1
WNK1,P,0,1,0,1,1,1
ZEB1,M,0,1,0,1,1,1
ZMIZ1,P,0,1,0,1,1,1
