Nodes,NodeType,ZeroAct,UpAct,DownAct,AvgAct,measured,Activity
NCOA3,M,0,0,1,-1,1,-1
NDN,P,0,1,0,1,1,1
NFAT5,,0.62,0.38,0,0.38,0,0.38
NFYA,M,0,1,0,1,1,1
NFYB,M,0,1,0,1,1,1
NMI,P,0,0,1,-1,1,-1
NR2C2,M,0,1,0,1,1,1
PAK1,,0.58,0,0.42,-0.42,0,-0.42
PAK2,P,0,0,1,-1,1,-1
PARP1,P,0,1,0,1,1,1
PCNA,P,0,1,0,1,1,1
PIM1,P,0,1,0,1,1,1
PKM,,0.51,0.49,0,0.49,0,0.49
PLD2,,0.38,0.62,0,0.62,0,0.62
PLK1,P,0,1,0,1,1,1
PPP2CA,P,0,1,0,1,1,1
PPP2CB,P,0,0,1,-1,1,-1
PPP2R5A,P,0,1,0,1,1,1
PPP2R5D,P,0,0,1,-1,1,-1
PRKACA,,0.7,0.3,0,0.3,0,0.3
PRKCA,,0,0,1,-1,0,-1
PTPN11,,0.37,0.63,0,0.63,0,0.63
RALA,,0.68,0.32,0,0.32,0,0.32
RBL2,,0.58,0.42,0,0.42,0,0.42
RUNX1,M,0,0,1,-1,1,-1
SKP2,P,0,0,1,-1,1,-1
SLC38A2,,0,1,0,1,0,1
SLC5A3,,0.62,0.38,0,0.38,0,0.38
SMAD4,M,0,0,1,-1,1,-1
SMARCB1,P,0,1,0,1,1,1
SRC,,0.63,0,0.37,-0.37,0,-0.37
SREBF1,,0.81,0.19,0,0.19,0,0.19
SREBF2,M,0,1,0,1,1,1
STAT1,M,0,0,1,-1,1,-1
STAT5B,M,0,0,1,-1,1,-1
SUMO1,,0,0,1,-1,0,-1
TAB1,P,0,1,0,1,1,1
TAB2,P,0,1,0,1,1,1
TCF12,M,0,0,1,-1,1,-1
TFDP1,M,0,1,0,1,1,1
TFDP2,P,0,1,0,1,1,1
TNFRSF14,P,0,1,0,1,1,1
TP53,,0,0,1,-1,0,-1
TRAF2,P,0,1,0,1,1,1
UBE2I,P,0,1,0,1,1,1
WWP1,P,0,1,0,1,1,1
YBX1,P,0,1,0,1,1,1
YWHAQ,P,0,1,0,1,1,1
ZMIZ1,P,0,1,0,1,1,1
