SAMPLENAME,TITLE,panelnbr,cellnbr,pname,cellname,Value
META-8042,X-4053,9,18,Renal,786-0,2.799
META-8043,X-4053,9,18,Renal,786-0,2.305
META-8041,X-4058,9,18,Renal,786-0,0.182
META-8042,X-4058,9,18,Renal,786-0,0.182
META-8043,X-4058,9,18,Renal,786-0,0.182
META-8041,X-4075,9,18,Renal,786-0,0.671
META-8042,X-4075,9,18,Renal,786-0,0.951
META-8043,X-4075,9,18,Renal,786-0,0.660
META-8041,X-4133,9,18,Renal,786-0,1.677
META-8042,X-4133,9,18,Renal,786-0,1.498
META-8043,X-4133,9,18,Renal,786-0,2.252
META-8041,X-4251,9,18,Renal,786-0,1.155
META-8042,X-4251,9,18,Renal,786-0,1.529
META-8043,X-4251,9,18,Renal,786-0,1.300
META-8041,X-4271,9,18,Renal,786-0,0.338
META-8042,X-4271,9,18,Renal,786-0,0.338
META-8043,X-4271,9,18,Renal,786-0,0.338
META-8041,X-4354,9,18,Renal,786-0,0.171
META-8042,X-4354,9,18,Renal,786-0,0.171
META-8043,X-4354,9,18,Renal,786-0,0.171
META-8041,X-4362,9,18,Renal,786-0,0.643
META-8042,X-4362,9,18,Renal,786-0,0.141
META-8043,X-4362,9,18,Renal,786-0,0.728
META-8041,X-4503,9,18,Renal,786-0,0.233
META-8042,X-4503,9,18,Renal,786-0,0.233
META-8043,X-4503,9,18,Renal,786-0,0.233
META-8041,X-4510,9,18,Renal,786-0,0.261
META-8042,X-4510,9,18,Renal,786-0,0.261
META-8043,X-4510,9,18,Renal,786-0,0.261
META-8041,X-4514,9,18,Renal,786-0,1.757
META-8042,X-4514,9,18,Renal,786-0,0.801
META-8043,X-4514,9,18,Renal,786-0,0.261
META-8041,X-4516,9,18,Renal,786-0,1.206
META-8042,X-4516,9,18,Renal,786-0,1.120
META-8043,X-4516,9,18,Renal,786-0,0.940
META-8041,X-4517,9,18,Renal,786-0,0.164
META-8042,X-4517,9,18,Renal,786-0,0.164
META-8043,X-4517,9,18,Renal,786-0,0.164
META-8041,X-4522,9,18,Renal,786-0,1.108
META-8042,X-4522,9,18,Renal,786-0,1.486
META-8043,X-4522,9,18,Renal,786-0,1.151
META-8041,X-4523,9,18,Renal,786-0,1.676
META-8042,X-4523,9,18,Renal,786-0,1.934
META-8043,X-4523,9,18,Renal,786-0,1.851
META-8041,X-4593,9,18,Renal,786-0,0.908
META-8042,X-4593,9,18,Renal,786-0,0.880
META-8043,X-4593,9,18,Renal,786-0,0.697
META-8041,X-4611,9,18,Renal,786-0,1.050
META-8042,X-4611,9,18,Renal,786-0,0.604
META-8043,X-4611,9,18,Renal,786-0,0.931
META-8041,proline,9,18,Renal,786-0,1.315
META-8042,proline,9,18,Renal,786-0,1.375
META-8043,proline,9,18,Renal,786-0,1.162
META-8041,Putrescine,9,18,Renal,786-0,2.390
META-8042,Putrescine,9,18,Renal,786-0,2.752
META-8043,Putrescine,9,18,Renal,786-0,2.378
META-8041,pyrophosphate,9,18,Renal,786-0,1.201
META-8042,pyrophosphate,9,18,Renal,786-0,5.379
META-8043,pyrophosphate,9,18,Renal,786-0,1.000
META-8041,ribulose-5-phosphate,9,18,Renal,786-0,6.154
META-8042,ribulose-5-phosphate,9,18,Renal,786-0,9.709
META-8043,ribulose-5-phosphate,9,18,Renal,786-0,5.573
META-8041,serine,9,18,Renal,786-0,1.007
META-8042,serine,9,18,Renal,786-0,0.794
META-8043,serine,9,18,Renal,786-0,0.895
META-8041,sn-Glycerol 3-phosphate,9,18,Renal,786-0,7.893
META-8042,sn-Glycerol 3-phosphate,9,18,Renal,786-0,8.372
META-8043,sn-Glycerol 3-phosphate,9,18,Renal,786-0,6.731
META-8041,sorbitol,9,18,Renal,786-0,11.747
META-8042,sorbitol,9,18,Renal,786-0,13.244
META-8043,sorbitol,9,18,Renal,786-0,12.537
META-8041,Spermidine,9,18,Renal,786-0,1.203
META-8042,Spermidine,9,18,Renal,786-0,0.145
META-8043,Spermidine,9,18,Renal,786-0,1.772
META-8041,succinate,9,18,Renal,786-0,1.348
META-8042,succinate,9,18,Renal,786-0,1.665
META-8043,succinate,9,18,Renal,786-0,1.532
META-8041,tetradecanoic acid,9,18,Renal,786-0,1.332
META-8042,tetradecanoic acid,9,18,Renal,786-0,1.027
META-8043,tetradecanoic acid,9,18,Renal,786-0,0.922
META-8041,threonine,9,18,Renal,786-0,0.988
META-8042,threonine,9,18,Renal,786-0,0.776
META-8043,threonine,9,18,Renal,786-0,0.814
META-8041,trans-11-eicosenoic acid,9,18,Renal,786-0,0.740
META-8042,trans-11-eicosenoic acid,9,18,Renal,786-0,1.388
META-8043,trans-11-eicosenoic acid,9,18,Renal,786-0,1.197
META-8041,trans-4-hydroxyproline,9,18,Renal,786-0,1.526
META-8042,trans-4-hydroxyproline,9,18,Renal,786-0,1.659
META-8043,trans-4-hydroxyproline,9,18,Renal,786-0,1.301
META-8041,tyramine,9,18,Renal,786-0,1.014
META-8042,tyramine,9,18,Renal,786-0,0.855
META-8043,tyramine,9,18,Renal,786-0,0.912
META-8041,tyrosine,9,18,Renal,786-0,1.131
META-8042,tyrosine,9,18,Renal,786-0,0.946
META-8043,tyrosine,9,18,Renal,786-0,0.927
META-8041,uracil,9,18,Renal,786-0,0.669
META-8042,uracil,9,18,Renal,786-0,0.599
META-8043,uracil,9,18,Renal,786-0,0.521
META-8041,urea,9,18,Renal,786-0,1.425
META-8042,urea,9,18,Renal,786-0,1.049
META-8043,urea,9,18,Renal,786-0,1.326
META-8041,uric acid,9,18,Renal,786-0,1.363
META-8042,uric acid,9,18,Renal,786-0,0.201
META-8043,uric acid,9,18,Renal,786-0,0.201
META-8041,valine,9,18,Renal,786-0,1.168
META-8042,valine,9,18,Renal,786-0,0.997
META-8043,valine,9,18,Renal,786-0,1.028
META-8041,xanthosine,9,18,Renal,786-0,1.496
META-8042,xanthosine,9,18,Renal,786-0,1.117
META-8043,xanthosine,9,18,Renal,786-0,1.175
META-8041,(2-Aminoethyl)phosphonate,9,18,Renal,786-0,0.517
META-8042,(2-Aminoethyl)phosphonate,9,18,Renal,786-0,1.240
META-8043,(2-Aminoethyl)phosphonate,9,18,Renal,786-0,0.533
META-8041,"2,3-diphospho-D-glyceric acid",9,18,Renal,786-0,1.092
META-8042,"2,3-diphospho-D-glyceric acid",9,18,Renal,786-0,0.715
META-8043,"2,3-diphospho-D-glyceric acid",9,18,Renal,786-0,0.745
META-8041,2'-deoxyadenosine 5'-diphosphate,9,18,Renal,786-0,0.324
META-8042,2'-deoxyadenosine 5'-diphosphate,9,18,Renal,786-0,0.324
META-8043,2'-deoxyadenosine 5'-diphosphate,9,18,Renal,786-0,0.324
META-8041,2'-deoxyuridine,9,18,Renal,786-0,0.104
META-8042,2'-deoxyuridine,9,18,Renal,786-0,0.104
META-8043,2'-deoxyuridine,9,18,Renal,786-0,0.104
META-8041,2'-deoxyuridine 5'-triphosphate,9,18,Renal,786-0,0.222
META-8042,2'-deoxyuridine 5'-triphosphate,9,18,Renal,786-0,0.222
META-8043,2'-deoxyuridine 5'-triphosphate,9,18,Renal,786-0,0.222
META-8041,3-hydroxy-3-methylglutarate,9,18,Renal,786-0,0.680
META-8042,3-hydroxy-3-methylglutarate,9,18,Renal,786-0,0.666
META-8043,3-hydroxy-3-methylglutarate,9,18,Renal,786-0,0.525
META-8041,3-methyl-L-histidine,9,18,Renal,786-0,1.358
META-8042,3-methyl-L-histidine,9,18,Renal,786-0,2.044
META-8043,3-methyl-L-histidine,9,18,Renal,786-0,1.155
META-8041,3-phospho-l-serine,9,18,Renal,786-0,3.072
META-8042,3-phospho-l-serine,9,18,Renal,786-0,2.113
META-8043,3-phospho-l-serine,9,18,Renal,786-0,2.207
META-8041,4-Guanidinobutanoic acid,9,18,Renal,786-0,0.466
META-8042,4-Guanidinobutanoic acid,9,18,Renal,786-0,0.503
META-8043,4-Guanidinobutanoic acid,9,18,Renal,786-0,0.446
META-8041,"5,6-dihydrouracil",9,18,Renal,786-0,0.219
META-8042,"5,6-dihydrouracil",9,18,Renal,786-0,0.219
META-8043,"5,6-dihydrouracil",9,18,Renal,786-0,0.219
META-8041,5'-s-methyl-5'-thioadenosine,9,18,Renal,786-0,0.086
META-8042,5'-s-methyl-5'-thioadenosine,9,18,Renal,786-0,0.086
META-8043,5'-s-methyl-5'-thioadenosine,9,18,Renal,786-0,0.086
META-8041,acetylphosphate,9,18,Renal,786-0,0.131
META-8042,acetylphosphate,9,18,Renal,786-0,1.153
META-8043,acetylphosphate,9,18,Renal,786-0,0.131
META-8041,allantoin,9,18,Renal,786-0,1.064
META-8042,allantoin,9,18,Renal,786-0,1.178
META-8043,allantoin,9,18,Renal,786-0,0.710
META-8041,alpha-keto-glutarate,9,18,Renal,786-0,0.324
META-8042,alpha-keto-glutarate,9,18,Renal,786-0,0.324
META-8043,alpha-keto-glutarate,9,18,Renal,786-0,0.324
META-8041,arginino-succinate,9,18,Renal,786-0,0.091
META-8042,arginino-succinate,9,18,Renal,786-0,0.091
META-8043,arginino-succinate,9,18,Renal,786-0,0.644
META-8041,beta-hydroxypyruvic acid,9,18,Renal,786-0,0.052
META-8042,beta-hydroxypyruvic acid,9,18,Renal,786-0,1.164
META-8043,beta-hydroxypyruvic acid,9,18,Renal,786-0,0.052
META-8041,beta-nicotinamide adenine dinucleotide,9,18,Renal,786-0,1.121
META-8042,beta-nicotinamide adenine dinucleotide,9,18,Renal,786-0,1.000
META-8043,beta-nicotinamide adenine dinucleotide,9,18,Renal,786-0,1.019
META-8041,biotin,9,18,Renal,786-0,0.459
META-8042,biotin,9,18,Renal,786-0,0.111
META-8043,biotin,9,18,Renal,786-0,0.111
META-8041,caffeine,9,18,Renal,786-0,0.274
META-8042,caffeine,9,18,Renal,786-0,0.274
META-8043,caffeine,9,18,Renal,786-0,0.274
META-8041,carnitine,9,18,Renal,786-0,1.073
META-8042,carnitine,9,18,Renal,786-0,1.543
META-8043,carnitine,9,18,Renal,786-0,0.951
META-8041,cytidine,9,18,Renal,786-0,1.000
META-8042,cytidine,9,18,Renal,786-0,0.521
META-8043,cytidine,9,18,Renal,786-0,0.612
META-8041,cytidine 5'-monophosphate,9,18,Renal,786-0,1.152
META-8042,cytidine 5'-monophosphate,9,18,Renal,786-0,0.716
META-8043,cytidine 5'-monophosphate,9,18,Renal,786-0,0.760
META-8041,DL-homocysteine,9,18,Renal,786-0,0.098
META-8042,DL-homocysteine,9,18,Renal,786-0,0.098
META-8043,DL-homocysteine,9,18,Renal,786-0,1.773
META-8041,erythrose-4-phosphate,9,18,Renal,786-0,0.039
META-8042,erythrose-4-phosphate,9,18,Renal,786-0,1.174
META-8043,erythrose-4-phosphate,9,18,Renal,786-0,0.039
META-8041,ethylmalonic acid,9,18,Renal,786-0,0.184
META-8042,ethylmalonic acid,9,18,Renal,786-0,0.184
META-8043,ethylmalonic acid,9,18,Renal,786-0,0.184
META-8041,gamma-glu-cys,9,18,Renal,786-0,0.284
META-8042,gamma-glu-cys,9,18,Renal,786-0,0.284
META-8043,gamma-glu-cys,9,18,Renal,786-0,0.284
META-8041,gamma-L-glutamyl-L-glutamine,9,18,Renal,786-0,0.206
META-8042,gamma-L-glutamyl-L-glutamine,9,18,Renal,786-0,0.206
META-8043,gamma-L-glutamyl-L-glutamine,9,18,Renal,786-0,0.206
META-8041,gamma-L-glutamyl-L-tyrosine,9,18,Renal,786-0,0.185
META-8042,gamma-L-glutamyl-L-tyrosine,9,18,Renal,786-0,0.185
META-8043,gamma-L-glutamyl-L-tyrosine,9,18,Renal,786-0,0.848
META-8041,"glutathione, reduced",9,18,Renal,786-0,0.006
META-8042,"glutathione, reduced",9,18,Renal,786-0,0.008
META-8043,"glutathione, reduced",9,18,Renal,786-0,0.006
META-8041,glyceric acid,9,18,Renal,786-0,0.537
META-8042,glyceric acid,9,18,Renal,786-0,1.745
META-8043,glyceric acid,9,18,Renal,786-0,1.586
META-8041,guanine,9,18,Renal,786-0,0.770
META-8042,guanine,9,18,Renal,786-0,0.557
META-8043,guanine,9,18,Renal,786-0,0.752
META-8041,guanosine,9,18,Renal,786-0,1.135
META-8042,guanosine,9,18,Renal,786-0,0.391
META-8043,guanosine,9,18,Renal,786-0,0.504
META-8041,guanosine 5'- monophosphate,9,18,Renal,786-0,0.110
META-8042,guanosine 5'- monophosphate,9,18,Renal,786-0,0.110
META-8043,guanosine 5'- monophosphate,9,18,Renal,786-0,0.110
META-8041,homogentisate,9,18,Renal,786-0,0.935
META-8042,homogentisate,9,18,Renal,786-0,2.982
META-8043,homogentisate,9,18,Renal,786-0,1.583
META-8041,hypoxanthine,9,18,Renal,786-0,0.527
META-8042,hypoxanthine,9,18,Renal,786-0,0.422
META-8043,hypoxanthine,9,18,Renal,786-0,0.403
META-8041,inosine,9,18,Renal,786-0,0.380
META-8042,inosine,9,18,Renal,786-0,0.094
META-8043,inosine,9,18,Renal,786-0,0.164
META-8041,"Isobar 13 includes 5-keto-D-gluconic acid, 2-keto-L-gulonic acid, D-glucuronic acid",9,18,Renal,786-0,0.396
META-8042,"Isobar 13 includes 5-keto-D-gluconic acid, 2-keto-L-gulonic acid, D-glucuronic acid",9,18,Renal,786-0,0.371
META-8043,"Isobar 13 includes 5-keto-D-gluconic acid, 2-keto-L-gulonic acid, D-glucuronic acid",9,18,Renal,786-0,0.527
META-8041,"Isobar 18 includes D-fructose 1-phosphate, beta-D-fructose 6-phosphate",9,18,Renal,786-0,2.804
META-8042,"Isobar 18 includes D-fructose 1-phosphate, beta-D-fructose 6-phosphate",9,18,Renal,786-0,2.131
META-8043,"Isobar 18 includes D-fructose 1-phosphate, beta-D-fructose 6-phosphate",9,18,Renal,786-0,2.064
META-8041,"Isobar 19 includes D-saccharic acid, 2-deoxy-D-galactose, 2-deoxy-D-glucose, L-fucose, L-rhamnose",9,18,Renal,786-0,0.734
META-8042,"Isobar 19 includes D-saccharic acid, 2-deoxy-D-galactose, 2-deoxy-D-glucose, L-fucose, L-rhamnose",9,18,Renal,786-0,1.378
META-8043,"Isobar 19 includes D-saccharic acid, 2-deoxy-D-galactose, 2-deoxy-D-glucose, L-fucose, L-rhamnose",9,18,Renal,786-0,0.412
META-8041,"Isobar 22 includes glutamic acid, O-acetyl-L-serine",9,18,Renal,786-0,3.400
META-8042,"Isobar 22 includes glutamic acid, O-acetyl-L-serine",9,18,Renal,786-0,2.169
